"70BCSV 	",Prueba subir archivo 
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 ,
25,
CTRWL,1550
SPAN,200
START WL,1450
STOP WL,1650
WLFREQ,0
REFL,-59.9
LSCL,4
RESLN,0.2
AVG,1
SMPLAUTO,1
SMPL,5001
SMPLINTVL,0.04
HIGH2,
MEAS,
LSUNT,0
NMSKH,OFF
RESCOR,0
SMOOTH,0
FIBERTYPE,0
MEASWL,1
SWPSPD,0
RESPARM,9674
FREQPARM,9674
,
,
1486.36,-69.668
1486.4,-69.667
1486.44,-69.615
1486.48,-69.595
1486.52,-69.559
1486.56,-69.505
1486.6,-69.477
1486.64,-69.481
1486.68,-69.43
1486.72,-69.407
1486.76,-69.349
1486.8,-69.301
1486.84,-69.234
1486.88,-69.185
1486.92,-69.141
1486.96,-69.138
1487,-69.093
1487.04,-69.049
1487.08,-69.011
1487.12,-68.979
1487.16,-68.941
1487.2,-68.917
1487.24,-68.869
1487.28,-68.813
1487.32,-68.779
1487.36,-68.747
1487.4,-68.722
1487.44,-68.677
1487.48,-68.643
1487.52,-68.617
1487.56,-68.573
1487.6,-68.536
1487.64,-68.505
1487.68,-68.456
1487.72,-68.424
1487.76,-68.391
1487.8,-68.38
1487.84,-68.357
1487.88,-68.318
1487.92,-68.292
1487.96,-68.267
1488,-68.225
1488.04,-68.183
1488.08,-68.127
1488.12,-68.098
1488.16,-68.058
1488.2,-68.024
1488.24,-67.999
1488.28,-67.981
1488.32,-67.939
1488.36,-67.905
1488.4,-67.873
1488.44,-67.835
1488.48,-67.803
1488.52,-67.771
1488.56,-67.732
1488.6,-67.695
1488.64,-67.668
1488.68,-67.641
1488.72,-67.6
1488.76,-67.582
1488.8,-67.546
1488.84,-67.509
1488.88,-67.483
1488.92,-67.456
1488.96,-67.424
1489,-67.4
1489.04,-67.36
1489.08,-67.337
1489.12,-67.3
1489.16,-67.258
1489.2,-67.235
1489.24,-67.195
1489.28,-67.166
1489.32,-67.14
1489.36,-67.116
1489.4,-67.079
1489.44,-67.054
1489.48,-67.019
1489.52,-66.991
1489.56,-66.978
1489.6,-66.96
1489.64,-66.948
1489.68,-66.924
1489.72,-66.877
1489.76,-66.825
1489.8,-66.789
1489.84,-66.758
1489.88,-66.733
1489.92,-66.7
1489.96,-66.678
1490,-66.638
1490.04,-66.615
1490.08,-66.578
1490.12,-66.569
1490.16,-66.537
1490.2,-66.501
1490.24,-66.478
1490.28,-66.457
1490.32,-66.432
1490.36,-66.401
1490.4,-66.362
1490.44,-66.344
1490.48,-66.323
1490.52,-66.295
1490.56,-66.276
1490.6,-66.243
1490.64,-66.217
1490.68,-66.194
1490.72,-66.167
1490.76,-66.133
1490.8,-66.109
1490.84,-66.086
1490.88,-66.068
1490.92,-66.037
1490.96,-66.022
1491,-65.992
1491.04,-65.97
1491.08,-65.938
1491.12,-65.92
1491.16,-65.891
1491.2,-65.879
1491.24,-65.845
1491.28,-65.83
1491.32,-65.821
1491.36,-65.819
1491.4,-65.812
1491.44,-65.785
1491.48,-65.74
1491.52,-65.703
1491.56,-65.667
1491.6,-65.638
1491.64,-65.609
1491.68,-65.577
1491.72,-65.565
1491.76,-65.537
1491.8,-65.51
1491.84,-65.488
1491.88,-65.467
1491.92,-65.451
1491.96,-65.425
1492,-65.402
1492.04,-65.384
1492.08,-65.358
1492.12,-65.337
1492.16,-65.316
1492.2,-65.283
1492.24,-65.267
1492.28,-65.245
1492.32,-65.224
1492.36,-65.2
1492.4,-65.179
1492.44,-65.152
1492.48,-65.133
1492.52,-65.117
1492.56,-65.091
1492.6,-65.078
1492.64,-65.043
1492.68,-65.033
1492.72,-65.015
1492.76,-64.991
1492.8,-64.979
1492.84,-64.956
1492.88,-64.941
1492.92,-64.915
1492.96,-64.893
1493,-64.879
1493.04,-64.852
1493.08,-64.835
1493.12,-64.815
1493.16,-64.802
1493.2,-64.78
1493.24,-64.768
1493.28,-64.743
1493.32,-64.72
1493.36,-64.707
1493.4,-64.686
1493.44,-64.662
1493.48,-64.654
1493.52,-64.635
1493.56,-64.614
1493.6,-64.597
1493.64,-64.58
1493.68,-64.565
1493.72,-64.544
1493.76,-64.53
1493.8,-64.505
1493.84,-64.496
1493.88,-64.47
1493.92,-64.464
1493.96,-64.45
1494,-64.429
1494.04,-64.403
1494.08,-64.386
1494.12,-64.367
1494.16,-64.357
1494.2,-64.329
1494.24,-64.313
1494.28,-64.297
1494.32,-64.286
1494.36,-64.264
1494.4,-64.247
1494.44,-64.235
1494.48,-64.215
1494.52,-64.192
1494.56,-64.178
1494.6,-64.162
1494.64,-64.145
1494.68,-64.126
1494.72,-64.113
1494.76,-64.097
1494.8,-64.084
1494.84,-64.07
1494.88,-64.055
1494.92,-64.038
1494.96,-64.021
1495,-64.004
1495.04,-63.995
1495.08,-63.98
1495.12,-63.971
1495.16,-63.952
1495.2,-63.931
1495.24,-63.917
1495.28,-63.901
1495.32,-63.887
1495.36,-63.873
1495.4,-63.856
1495.44,-63.845
1495.48,-63.834
1495.52,-63.82
1495.56,-63.808
1495.6,-63.794
1495.64,-63.779
1495.68,-63.766
1495.72,-63.76
1495.76,-63.751
1495.8,-63.736
1495.84,-63.723
1495.88,-63.711
1495.92,-63.687
1495.96,-63.68
1496,-63.663
1496.04,-63.654
1496.08,-63.638
1496.12,-63.626
1496.16,-63.614
1496.2,-63.605
1496.24,-63.593
1496.28,-63.578
